date,value
2020-11-26 06:00,42
2020-11-26 06:10,41
2020-11-26 06:20,40
2020-11-26 06:30,40
2020-11-26 06:40,42
2020-11-26 06:50,40
2020-11-26 07:00,44
2020-11-26 07:10,49
2020-11-26 07:20,54
2020-11-26 07:30,62
2020-11-26 07:40,73
2020-11-26 07:50,92
2020-11-26 08:00,108
2020-11-26 08:10,126
2020-11-26 08:20,135
2020-11-26 08:30,150
2020-11-26 08:40,162
2020-11-26 08:50,162
2020-11-26 09:00,175
2020-11-26 09:10,174
2020-11-26 09:20,180
2020-11-26 09:30,177
2020-11-26 09:40,183
2020-11-26 09:50,182
2020-11-26 10:00,182
2020-11-26 10:10,175
2020-11-26 10:20,176
2020-11-26 10:30,175
2020-11-26 10:40,183
2020-11-26 10:50,174
2020-11-26 11:00,176
2020-11-26 11:10,175
2020-11-26 11:20,169
2020-11-26 11:30,167
2020-11-26 11:40,159
2020-11-26 11:50,153
2020-11-26 12:00,146
2020-11-26 12:10,142
2020-11-26 12:20,140
2020-11-26 12:30,142
2020-11-26 12:40,140
2020-11-26 12:50,134
